BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,0.74569
1,managed,2,57,7.2987
2,unmanaged,3,57,0.412869
2,managed,4,57,5.4853
3,unmanaged,9,37,1.55045
3,managed,10,37,0.407275
4,unmanaged,11,57,0.5149
4,managed,12,57,6.8408
5,unmanaged,13,47,5.2018
6,unmanaged,14,87,0.7287
6,managed,15,87,2.32815
7,unmanaged,17,57,7.0386
7,managed,18,57,80.348
8,unmanaged,23,277,21.7776
9,unmanaged,11,57,0.295908
9,managed,12,57,3.93135
10,unmanaged,23,307,6.901
11,unmanaged,24,57,0.302988
11,managed,25,57,4.02541
12,unmanaged,26,47,0.98494
12,managed,27,47,1.62317
13,unmanaged,11,47,0.121814
13,managed,12,47,1.61839
14,unmanaged,32,47,8.1809
14,managed,33,47,38.2683
15,unmanaged,38,127,1.05359
15,managed,39,127,1.76271
16,unmanaged,41,127,0.057498
16,managed,42,127,0.7639
17,unmanaged,48,67,0.74872
17,managed,49,67,2.4515
18,unmanaged,23,407,7.6874
19,unmanaged,51,127,1.42244
19,managed,52,127,0.0382799
20,unmanaged,54,47,1.5739
20,managed,55,47,19.5835
21,unmanaged,60,67,1.1517
21,managed,61,67,15.3012
22,unmanaged,3,57,0.095092
22,managed,4,57,1.26337
23,unmanaged,62,127,2.4271
23,managed,63,127,7.4426
24,unmanaged,65,277,9.797
25,unmanaged,66,57,0.490778
25,managed,67,57,1.6143
26,unmanaged,68,47,1.04497
26,managed,69,47,7.2314
27,unmanaged,70,207,0.80492
27,managed,71,207,1.8445
28,unmanaged,73,57,0.70922
28,managed,74,57,6.7346
29,unmanaged,79,57,0.82419
29,managed,80,57,0.82723
30,unmanaged,81,107,2.78847
30,managed,82,107,0.7512
31,unmanaged,23,357,6.1982
32,unmanaged,84,277,2.82628
32,managed,85,277,5.5763
33,unmanaged,91,127,0.245158
33,managed,92,127,3.2571
34,unmanaged,98,237,3.81564
34,managed,99,237,0.33821
35,unmanaged,11,57,0.29525
35,managed,12,57,3.92261
36,unmanaged,11,47,0.397546
36,managed,12,47,5.2817
37,unmanaged,101,127,0.57565
37,managed,102,127,5.0957
38,unmanaged,23,407,5.6516
39,unmanaged,104,47,23.218
40,unmanaged,105,237,0.278611
40,managed,106,237,3.70155
41,unmanaged,108,57,0.357465
41,managed,109,57,2.48969
42,unmanaged,110,127,0.274191
42,managed,111,127,3.64283
43,unmanaged,112,47,0.496422
43,managed,113,47,3.09906
44,unmanaged,11,57,0.102116
44,managed,12,57,1.35669
45,unmanaged,118,107,0.328061
45,managed,119,107,2.24582
46,unmanaged,105,237,0.322346
46,managed,106,237,4.28259
47,unmanaged,121,77,0.50266
47,managed,122,77,5.0445
48,unmanaged,124,43,4.23053
48,managed,125,43,10.5577
49,unmanaged,126,47,5.9201
49,managed,127,47,3.91752
50,unmanaged,132,237,1.23038
50,managed,133,237,2.65301
51,unmanaged,135,103,1.82642
51,managed,136,103,13.0274
52,unmanaged,23,403,2.81301
53,unmanaged,138,177,3.07562
53,managed,139,177,0.284372
54,unmanaged,145,47,0.454058
54,managed,146,47,6.0325
55,unmanaged,23,277,9.1267
56,unmanaged,147,47,2.27544
56,managed,148,47,0.271832
57,unmanaged,149,47,2.4909
57,managed,150,47,3.29397
58,unmanaged,155,237,1.76604
58,managed,156,237,0.184228
59,unmanaged,23,357,1.42784
60,unmanaged,162,307,6.3747
61,unmanaged,60,107,1.08145
61,managed,61,107,14.3678
62,unmanaged,11,47,0.182329
62,managed,12,47,2.42237
63,unmanaged,11,47,0.280996
63,managed,12,47,3.73323
64,unmanaged,163,237,0.65894
64,managed,164,237,0.0100863
65,unmanaged,23,357,8.3464
66,unmanaged,170,57,2.74388
66,managed,171,57,1.04406
67,unmanaged,172,47,2.95269
67,managed,173,47,1.33186
68,unmanaged,174,57,4.87908
68,managed,175,57,14.1547
69,unmanaged,176,47,0.627
69,managed,177,47,8.3301
70,unmanaged,182,127,0.81655
70,managed,183,127,0.168092
71,unmanaged,189,127,0.161653
71,managed,190,127,2.14768
72,unmanaged,192,101,5.1832
72,managed,193,101,5.7698
73,unmanaged,91,261,0.07858
73,managed,92,261,1.04399
74,unmanaged,199,57,3.29298
74,managed,200,57,1.43792
75,unmanaged,104,47,15.398
76,unmanaged,110,237,0.272319
76,managed,111,237,3.61796
77,unmanaged,11,57,0.34872
77,managed,12,57,4.63299
78,unmanaged,201,47,4.72816
78,managed,202,47,1.03067
79,unmanaged,189,177,0.299094
79,managed,190,177,3.97367
80,unmanaged,203,127,2.30058
80,managed,204,127,0.063042
81,unmanaged,210,307,1.4213
81,managed,211,307,1.61763
82,unmanaged,217,57,31.7658
83,unmanaged,218,77,0.205279
83,managed,219,77,1.72749
84,unmanaged,221,57,2.08925
84,managed,222,57,2.03992
85,unmanaged,223,57,0.081796
85,managed,224,57,1.06321
86,unmanaged,225,97,0.430605
86,managed,226,97,1.63353
87,unmanaged,228,57,1.98153
87,managed,229,57,9.7982
88,unmanaged,65,307,2.80289
89,unmanaged,230,107,4.71587
89,managed,231,107,2.84699
90,unmanaged,11,57,0.53656
90,managed,12,57,7.1285
91,unmanaged,233,47,2.12863
91,managed,234,47,5.383
92,unmanaged,239,237,1.95154
92,managed,240,237,1.09178
93,unmanaged,23,237,3.06129
94,unmanaged,23,307,6.5515
95,unmanaged,11,57,0.374262
95,managed,12,57,4.97234
96,unmanaged,242,47,9.5333
96,managed,243,47,15.1892
97,unmanaged,11,57,0.188309
97,managed,12,57,2.50182
98,unmanaged,248,237,5.1595
98,managed,249,237,0.90934
99,unmanaged,251,107,0.450998
99,managed,252,107,1.22314
100,unmanaged,65,357,11.0588
101,unmanaged,254,47,7.5603
101,managed,255,47,12.7759
102,unmanaged,260,47,3.38267
102,managed,261,47,16.1963
103,unmanaged,262,237,1.83197
103,managed,263,237,1.87527
104,unmanaged,162,237,10.685
105,unmanaged,269,57,4.17877
105,managed,270,57,0.156222
106,unmanaged,23,65,17.5999
107,unmanaged,271,357,0.480451
107,managed,272,357,2.28497
108,unmanaged,11,47,1.97262
108,managed,12,47,26.2076
109,unmanaged,278,57,3.51186
109,managed,279,57,30.3438
110,unmanaged,280,67,4.71206
110,managed,281,67,2.44835
111,unmanaged,283,307,6.7735
111,managed,284,307,0.9265
112,unmanaged,290,47,0.72912
112,managed,291,47,5.4514
113,unmanaged,3,47,2.86285
113,managed,4,47,38.035
114,unmanaged,24,47,0.336881
114,managed,25,47,4.4757
115,unmanaged,104,37,25.2158
116,unmanaged,292,107,1.8805
116,managed,293,107,2.53005
117,unmanaged,295,307,5.9836
118,unmanaged,296,277,2.65279
118,managed,297,277,0.116097
119,unmanaged,303,57,1.26021
119,managed,304,57,3.54653
120,unmanaged,305,57,2.24132
120,managed,306,57,27.3625
121,unmanaged,311,57,1.53978
121,managed,312,57,0.184409
122,unmanaged,313,127,2.80075
122,managed,314,127,0.346323
123,unmanaged,11,47,0.189711
123,managed,12,47,2.52045
124,unmanaged,23,457,7.2965
125,unmanaged,316,107,0.456125
125,managed,317,107,0.60937
126,unmanaged,319,47,0.261979
126,managed,191,47,3.48057
127,unmanaged,320,47,1.11044
127,managed,321,47,5.6953
128,unmanaged,326,57,2.78167
128,managed,327,57,2.47679
129,unmanaged,328,127,5.5022
129,managed,329,127,6.998
130,unmanaged,91,197,0.66725
130,managed,92,197,8.8649
131,unmanaged,335,237,0.179301
131,managed,336,237,1.49724
132,unmanaged,338,107,0.99567
132,managed,339,107,2.12196
133,unmanaged,341,57,4.39147
133,managed,342,57,1.6157
134,unmanaged,24,47,0.246357
134,managed,25,47,3.27303
135,unmanaged,343,57,4.6883
135,managed,344,57,3.37281
136,unmanaged,3,57,0.97032
136,managed,4,57,12.8914
137,unmanaged,349,47,1.62067
137,managed,350,47,4.48216
138,unmanaged,351,57,1.47146
138,managed,352,57,0.5402
139,unmanaged,353,47,1.21877
139,managed,354,47,1.38856
140,unmanaged,359,53,1.16355
140,managed,360,53,2.11921
141,unmanaged,145,57,0.169654
141,managed,146,57,2.25397
142,unmanaged,23,233,5.6962
143,unmanaged,65,307,7.1782
144,unmanaged,23,357,6.0447
145,unmanaged,365,107,1.62339
145,managed,366,107,4.9574
146,unmanaged,3,57,1.32414
146,managed,4,57,17.5922
147,unmanaged,11,57,0.33489
147,managed,12,57,4.44925
148,unmanaged,11,47,0.207774
148,managed,12,47,2.76043
149,unmanaged,11,47,0.447668
149,managed,12,47,5.9476
150,unmanaged,368,87,0.455034
150,managed,369,87,1.36054
151,unmanaged,11,47,0.173942
151,managed,12,47,2.31095
152,unmanaged,375,47,7.4122
152,managed,376,47,2.26879
153,unmanaged,110,127,1.24765
153,managed,111,127,16.5759
154,unmanaged,377,67,11.7351
154,managed,378,67,12.7668
155,unmanaged,380,127,5.6797
155,managed,381,127,10.6223
156,unmanaged,162,307,15.4116
157,unmanaged,295,357,4.19582
158,unmanaged,23,357,16.4668
159,unmanaged,383,107,1.27217
159,managed,384,107,16.9016
160,unmanaged,65,277,5.333
161,unmanaged,386,127,1.18335
161,managed,387,127,3.26695
162,unmanaged,389,59,2.16424
162,managed,390,59,15.1002
163,unmanaged,395,57,1.13846
163,managed,396,57,0.243862
164,unmanaged,397,107,0.6856
164,managed,398,107,5.7169
165,unmanaged,91,127,0.51149
165,managed,92,127,6.7956
166,unmanaged,400,47,1.44897
166,managed,401,47,5.0562
167,unmanaged,176,57,0.80338
167,managed,177,57,10.6735
168,unmanaged,406,107,0.8889
168,managed,407,107,4.0484
169,unmanaged,409,57,0.250463
169,managed,410,57,3.32757
170,unmanaged,60,103,1.28207
170,managed,61,103,17.0332
171,unmanaged,295,307,2.40017
172,unmanaged,411,247,2.10793
172,managed,412,247,3.02961
173,unmanaged,414,177,2.63822
173,managed,415,177,9.2925
174,unmanaged,23,307,4.87737
175,unmanaged,3,57,0.51745
175,managed,4,57,6.8746
176,unmanaged,60,127,0.250709
176,managed,61,127,3.33085
177,unmanaged,417,127,1.22739
177,managed,418,127,1.67296
178,unmanaged,420,57,0.69995
178,managed,421,57,2.83272
179,unmanaged,295,307,2.51518
180,unmanaged,145,47,0.339849
180,managed,146,47,4.51513
181,unmanaged,24,57,1.04375
181,managed,25,57,13.867
182,unmanaged,110,127,0.372854
182,managed,111,127,4.95364
183,unmanaged,422,47,2.73107
183,managed,423,47,10.612
184,unmanaged,424,57,1.20174
184,managed,425,57,9.9225
185,unmanaged,426,37,0.0292407
185,managed,43,37,0.388483
186,unmanaged,23,277,9.2513
187,unmanaged,427,77,1.31915
187,managed,428,77,2.55563
188,unmanaged,430,47,4.2765
188,managed,431,47,19.0544
189,unmanaged,11,47,0.474485
189,managed,12,47,6.3039
190,unmanaged,436,47,1.60799
191,unmanaged,437,57,3.59028
191,managed,438,57,9.6016
192,unmanaged,443,57,1.77956
192,managed,444,57,20.163
193,unmanaged,445,57,3.14452
193,managed,446,57,12.8465
194,unmanaged,23,307,5.5064
195,unmanaged,23,357,5.4823
196,unmanaged,447,67,0.412854
196,managed,448,67,5.4851
197,unmanaged,449,127,4.04866
197,managed,450,127,11.1442
198,unmanaged,452,47,1.84143
198,managed,453,47,0.213239
199,unmanaged,110,157,0.448196
199,managed,111,157,5.9546
200,unmanaged,458,237,1.02617
200,managed,459,237,1.11947
201,unmanaged,23,307,1.85975
202,unmanaged,465,57,4.66477
202,managed,466,57,6.0939
203,unmanaged,471,77,0.43893
203,managed,472,77,2.95068
204,unmanaged,474,57,1.35322
204,managed,475,57,7.1461
205,unmanaged,476,107,0.62434
205,managed,477,107,4.6487
206,unmanaged,479,107,0.83824
206,managed,480,107,10.0871
207,unmanaged,11,57,1.15388
207,managed,12,57,15.3301
208,unmanaged,11,47,0.74387
208,managed,12,47,9.8828
209,unmanaged,482,307,0.54103
209,managed,483,307,3.82527
210,unmanaged,485,127,0.487004
210,managed,486,127,6.4702
211,unmanaged,488,127,0.54984
211,managed,489,127,3.07641
212,unmanaged,491,77,3.79175
212,managed,492,77,8.1961
213,unmanaged,498,57,0.54103
213,managed,499,57,3.28982
214,unmanaged,65,357,4.97815
215,unmanaged,23,277,9.2429
216,unmanaged,500,107,0.370817
216,managed,501,107,0.64038
217,unmanaged,426,57,0.55943
217,managed,43,57,7.4324
218,unmanaged,189,127,0.83962
218,managed,190,127,11.1549
